NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04301375,Omission of Surgery and Sentinel Lymph Node Dissection in Clinically Low-risk HER2positive Breast Cancer With High HER2 Addiction and a Complete Response Following Standard Anti- HER2-based Neoadjuvant Therapy (ELPIS Trial),https://clinicaltrials.gov/study/NCT04301375,NOT_YET_RECRUITING,Mammary Cancer,DRUG: Pertuzumab and trastuzumab FDC subcutaneous|DRUG: Paclitaxel|DRUG: TDM1|DRUG: Endocrine therapy|PROCEDURE: Omission surgery,David Garcia Cinca,Fundacion Clinic per a la Recerca Biomédica,INTERVENTIONAL
NCT06954623,Partial Breast Re-irradiation for Breast Cancer,https://clinicaltrials.gov/study/NCT06954623,RECRUITING,Breast Cancers,RADIATION: Radiation Therapy,University Hospital Heidelberg,,INTERVENTIONAL
NCT06811870,A Phase II Single-Arm Clinical Study to Explore the Efficacy and Safety of Hyperbaric Oxygen in the Neoadjuvant Treatment of Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06811870,RECRUITING,Breast Cancers,DEVICE: hyperbaric oxygen treatment,Guangdong Provincial People's Hospital,,INTERVENTIONAL
NCT05693766,Gene Signatures to Guide HR+MBC Therapy in a Diverse Cohort,https://clinicaltrials.gov/study/NCT05693766,RECRUITING,Invasive Mammary Carcinoma|Metastatic Breast Cancer,DRUG: Capecitabine|OTHER: Endocrine-therapy|OTHER: MammoPrint ® and BluePrint assays,Sonya Reid,Agendia|Susan G. Komen Breast Cancer Foundation,INTERVENTIONAL
NCT05837455,"NeoTAILOR: ABiomarker-directed Approach to Guide Neoadjuvant Therapy for Patients With Stage II/III ER-positive, HER2-negative Breast Cancer",https://clinicaltrials.gov/study/NCT05837455,RECRUITING,Breast Cancer|Cancer of the Breast,DEVICE: VENTANA MIB-1 Ki67 assay|DEVICE: Oncotype DX® Recurrence Score|DEVICE: PAM50-based Prosigna breast cancer gene signature assay|DRUG: Anastrozole|DRUG: Combination anthracycline and/or taxane based treatment,Washington University School of Medicine,Swim Across America|The Foundation for Barnes-Jewish Hospital,INTERVENTIONAL
NCT05862610,The Study of Trilaciclib Combined With Chemotherapy On The Neoadjuvant Therapy of TNBC,https://clinicaltrials.gov/study/NCT05862610,NOT_YET_RECRUITING,Breast Neoplasm,DRUG: Trilaciclib plus chemotherapy|DRUG: Chemotherapy,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT06517212,Tirzepatide Weight Loss for MRD+ Early Breast Cancer,https://clinicaltrials.gov/study/NCT06517212,RECRUITING,Breast Cancer|Breast Neoplasms|Breast Cancers,DRUG: Tirzepatide,Baylor Research Institute,,INTERVENTIONAL
NCT05035745,Selinexor & Talazoparib in Advanced Refractory Solid Tumors; Advanced/Metastatic Triple Negative Breast Cancer (START),https://clinicaltrials.gov/study/NCT05035745,RECRUITING,Advanced Refractory Solid Tumors|Advanced Triple Negative Breast Cancers|Metastatic Triple Negative Breast Cancers,DRUG: Talazoparib|DRUG: Selinexor,"National University Hospital, Singapore",,INTERVENTIONAL
NCT06606730,Personalizing the Use of Pembrolizumab for Patients Who Have a Strong Response in Early Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06606730,RECRUITING,Breast Cancers|Triple Negative Breast Cancer (TNBC),DRUG: Pembrolizumab|OTHER: Deescalation,UNICANCER,,INTERVENTIONAL
NCT06749210,DAANCE FOR CHEMOTHERAPY-INDUCED NEUROPATHY,https://clinicaltrials.gov/study/NCT06749210,RECRUITING,Cancer of the Breast|Chemotherapy-induced Neuropathy,BEHAVIORAL: Tango,Ohio State University Comprehensive Cancer Center,National Institute on Aging (NIA)|Yale University|Emory University,INTERVENTIONAL
NCT07084519,Hypofractionated vs Conventional RT After Prosthetic Breast Reconstruction,https://clinicaltrials.gov/study/NCT07084519,NOT_YET_RECRUITING,Breast Cancer|Breast Reconstruction|Radiation Oncology,RADIATION: hypofractionated radiotherapy|RADIATION: conventional fractionated radiotherapy,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,INTERVENTIONAL
NCT07287098,A Study of Imlunestrant (LY3484356) in Premenopausal Women With Estrogen Receptor-Positive (ER+) Human Epidermal Growth Factor Receptor 2 Negative (HER2-) Early Breast Cancer,https://clinicaltrials.gov/study/NCT07287098,NOT_YET_RECRUITING,Breast Neoplasm Female,DRUG: Imlunestrant|DRUG: Imlunestrant + Goserelin|DRUG: Tamoxifen 20 mg|DEVICE: pre-filled syringe,Eli Lilly and Company,,INTERVENTIONAL
NCT05075512,The Efficacy and Safety of Anlotinib Combined With Fulvestrant in Patients With Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT05075512,RECRUITING,Breast Neoplasm Female,"DRUG: anlotinib, fulvestrant",Zhejiang Cancer Hospital,,INTERVENTIONAL
NCT06839001,CRYoablation for Small Tumors As Local Treatment - SIX Trial,https://clinicaltrials.gov/study/NCT06839001,RECRUITING,Breast Cancer|Breast Neoplasm,PROCEDURE: cryoablation|PROCEDURE: Breast Surgery (Lumpectomy or Mastectomy),Hospital do Coracao,,INTERVENTIONAL
NCT06471673,A Study of BRIA-OTS Cellular Immunotherapy in Metastatic Recurrent Breast Cancer,https://clinicaltrials.gov/study/NCT06471673,RECRUITING,"Breast Cancer|Breast Tumor|Cancer of Breast|Cancer of the Breast|Malignant Tumor of Breast|Tumors, Breast",BIOLOGICAL: BC1 cell line|BIOLOGICAL: Bria-OTS regimen and CPI (tislelizumab)|BIOLOGICAL: Bria-OTS regimen and CPI (tislelizumab) expansion cohort,BriaCell Therapeutics Corporation,,INTERVENTIONAL
NCT02476786,Endocrine Treatment Alone for Elderly Patients With Estrogen Receptor Positive Operable Breast Cancer and Low Recurrence Score,https://clinicaltrials.gov/study/NCT02476786,RECRUITING,Breast Cancer|Cancer of Breast|Breast Neoplasms|Cancer of the Breast,BEHAVIORAL: FACT-B|DRUG: Goserelin|DRUG: Anastrozole|DRUG: Exemestane|DRUG: Fulvestrant|DRUG: Tamoxifen|OTHER: Archived tissue collection,Washington University School of Medicine,"Genomic Health®, Inc.",INTERVENTIONAL
NCT05981001,Study of Autologous Tumor-Draining Lymph Node-Derived Lymphocytes for Advanced HER2-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT05981001,RECRUITING,Breast Neoplasms,PROCEDURE: Surgery for harvesting tumor-draining lymph nodes|DRUG: Cyclophosphamide|DRUG: Fludarabine|BIOLOGICAL: Tumor-draining lymph node-derived lymphocyte (LNL)|BIOLOGICAL: Interleukin-2|BIOLOGICAL: Camrelizumab|DRUG: Nab-paclitaxel|DRUG: Gemcitabine|DRUG: Carboplatin,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT05981014,Study of Autologous Tumor-Draining Lymph Node-Derived Lymphocytes as Neoadjuvant Therapy for HER2-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT05981014,RECRUITING,Breast Neoplasms,PROCEDURE: Sentinel Lymph Node Biopsy (SLNB)|DRUG: Doxorubicin|DRUG: Epirubicin|DRUG: Cyclophosphamide|DRUG: Cyclophosphamide|DRUG: Fludarabine|BIOLOGICAL: Tumor-draining lymph node-derived lymphocyte (LNL)|BIOLOGICAL: Interleukin-2|DRUG: Nab-paclitaxel,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT07088263,Adaptive Chemotherapy for the Treatment of Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT07088263,RECRUITING,Breast Neoplasms,"DRUG: Gemcitabine, Vinorelbine, Eribulin, or Utidelone",Sun Yat-sen University,,INTERVENTIONAL
NCT07011823,Immune-checkpoint Blockade After Partial Breast Irradiation by Pembrolizumab in Early TNBC,https://clinicaltrials.gov/study/NCT07011823,NOT_YET_RECRUITING,Triple-Negative Breast Neoplasm,RADIATION: Partial breast-irradiation,Gangnam Severance Hospital,,INTERVENTIONAL
NCT05978648,Trilaciclib in Patients With Early-Stage HR-negative Breast Cancer Receiving Adjuvant Chemotherapy,https://clinicaltrials.gov/study/NCT05978648,RECRUITING,Breast Neoplasms,DRUG: Trilaciclib|DRUG: Epirubicin|DRUG: Cyclophosphamide|DRUG: Paclitaxel|DRUG: Docetaxel|DRUG: Carboplatin|DRUG: Trastuzumab|DRUG: Pertuzumab,wang shusen,,INTERVENTIONAL
NCT06757621,Hypofractionated Postoperative Regional Nodal Irradiation for Patients With Intermediate-risk Breast Cancer,https://clinicaltrials.gov/study/NCT06757621,RECRUITING,Breast Carcinoma,RADIATION: Regional Nodal Irradiation,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,INTERVENTIONAL
NCT07060807,A Clinical Study of Patritumab Deruxtecan to Treat Breast Cancer (MK-1022-016),https://clinicaltrials.gov/study/NCT07060807,RECRUITING,Breast Neoplasms,BIOLOGICAL: Patritumab deruxtecan|DRUG: Paclitaxel|DRUG: Nab-paclitaxel|DRUG: Capecitabine|DRUG: Liposomal doxorubicin|BIOLOGICAL: Trastuzumab deruxtecan,Merck Sharp & Dohme LLC,Daiichi Sankyo,INTERVENTIONAL
NCT04601116,The MASTER Study (MAmmary Cancer STatin ER Positive Study),https://clinicaltrials.gov/study/NCT04601116,RECRUITING,Breast Cancer Female|Estrogen Receptor Positive Tumor,DRUG: Atorvastatin 80 Mg Oral Tablet|DRUG: Placebo oral tablet,Aarhus University Hospital,"Rigshospitalet, Denmark|Hospital of Southern Jutland|University of Copenhagen|Bornholms Hospital|Naestved Hospital|Vejle Hospital|Odense University Hospital|Nordsjaellands Hospital|Aalborg University Hospital|Herning Hospital",INTERVENTIONAL
NCT06195709,ECLECTIC: EstroTEP and Circulating Biomarkers for ER-positive HER2-negative Metastatic Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06195709,RECRUITING,Breast Carcinoma,COMBINATION_PRODUCT: Endocrine therapy|COMBINATION_PRODUCT: Endocrine therapy combined with the local treatment of FES-negative lesions|COMBINATION_PRODUCT: Chemotherapy,Institut Curie,Zionexa,INTERVENTIONAL
NCT06926868,"A Study of Izalontamab Brengitecan Versus Chemotherapy in Participants With Previously Untreated, Locally Advanced, Recurrent Inoperable, or Metastatic Triple-negative Breast Cancer Ineligible for Anti-PD(L)1 Drugs (IZABRIGHT-Breast01)",https://clinicaltrials.gov/study/NCT06926868,RECRUITING,Breast Neoplasms,DRUG: Iza-bren|DRUG: Nab-paclitaxel|DRUG: Paclitaxel|DRUG: Capecitabine|DRUG: Carboplatin|DRUG: Gemcitabine,Bristol-Myers Squibb,SystImmune Inc.,INTERVENTIONAL
NCT07173751,ROSETTA Breast-01: The Effects and Safety of Pumitamig in Patients With Triple-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT07173751,RECRUITING,Breast Neoplasms,DRUG: Pumitamig|DRUG: Nab-paclitaxel/Paclitaxel|DRUG: Gemcitabine|DRUG: Carboplatin|DRUG: Eribulin|DRUG: Matching placebo,BioNTech SE,Bristol-Myers Squibb,INTERVENTIONAL
NCT05557877,Low Dose Aspirin for the Prevention of Postpartum Related Breast Cancer,https://clinicaltrials.gov/study/NCT05557877,RECRUITING,Breast Carcinoma,PROCEDURE: Biospecimen Collection|DRUG: Low-Dose Aspirin|OTHER: Questionnaire Administration|PROCEDURE: Biopsy,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL
NCT04983121,Efficacy and Safety of Pyrotinib Maleate Combined With ARX788 Neoadjuvant Treatment in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT04983121,RECRUITING,Breast Neoplasms,DRUG: Next-generation Site-specific human epidermal growth factor receptor 2 (HER2)-targeting Antibody-drug Conjugate (ARX788),Shengjing Hospital,,INTERVENTIONAL
NCT06464913,Randomized Phase II Trial: Chest Wall RT Omission After Prosthetic Reconstruction,https://clinicaltrials.gov/study/NCT06464913,RECRUITING,Breast Neoplasms,RADIATION: With or without chest wall RT,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL
NCT06313463,Study Of Capecitabine Combined With Camrelizumab For Non-pCR TNBC With TLS After Neoadjuvant Chemoterapy,https://clinicaltrials.gov/study/NCT06313463,RECRUITING,Breast Neoplasms,DRUG: Carrellizumab + Capecitabine|DRUG: Placebo + Capecitabine,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT06140576,The Efficacy and Safety of Lenvatinib Combined With Sindilimab and Nab-paclitaxel in the First-line Treatment for Recurrent and Metastatic Triple Negative Breast Cancer: a Phase Ib/IIa Clinical Trial.,https://clinicaltrials.gov/study/NCT06140576,NOT_YET_RECRUITING,Breast Neoplasms,DRUG: Sindilimab|DRUG: Nab-paclitaxel|DRUG: Lenvatinib,Zhejiang Cancer Hospital,,INTERVENTIONAL
NCT01766297,Phase II Protocol of Proton Therapy for Partial Breast Irradiation in Early Stage Breast Cancer,https://clinicaltrials.gov/study/NCT01766297,RECRUITING,Breast Cancer|Breast Neoplasm|Breast Tumor|Cancer of the Breast,RADIATION: Proton Radiotherapy,Proton Collaborative Group,,INTERVENTIONAL
NCT06312176,A Study of Sacituzumab Tirumotecan (MK-2870) as a Single Agent and in Combination With Pembrolizumab (MK-3475) Versus Treatment of Physician's Choice in Participants With HR+/HER2- Unresectable Locally Advanced or Metastatic Breast Cancer (MK-2870-010),https://clinicaltrials.gov/study/NCT06312176,RECRUITING,Breast Neoplasms,DRUG: Sacituzumab tirumotecan|BIOLOGICAL: Pembrolizumab|DRUG: Paclitaxel|DRUG: Nab-paclitaxel|DRUG: Capecitabine|DRUG: Liposomal doxorubicin,Merck Sharp & Dohme LLC,,INTERVENTIONAL
NCT05514054,A Study of Imlunestrant Versus Standard Endocrine Therapy in Participants With Early Breast Cancer,https://clinicaltrials.gov/study/NCT05514054,RECRUITING,Breast Neoplasms,DRUG: Imlunestrant|DRUG: Tamoxifen|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane,Eli Lilly and Company,,INTERVENTIONAL
